"code" "market"
"76" "000401" "000401.sz"
"77" "000402" "000402.sz"
"78" "000404" "000404.sz"
"79" "000407" "000407.sz"
"80" "000408" "000408.sz"
"81" "000409" "000409.sz"
"82" "000410" "000410.sz"
"83" "000411" "000411.sz"
"84" "000413" "000413.sz"
"85" "000415" "000415.sz"
"86" "000416" "000416.sz"
"87" "000417" "000417.sz"
"88" "000418" "000418.sz"
"89" "000419" "000419.sz"
"90" "000420" "000420.sz"
"91" "000421" "000421.sz"
"92" "000422" "000422.sz"
"93" "000423" "000423.sz"
"94" "000425" "000425.sz"
"95" "000426" "000426.sz"
"96" "000428" "000428.sz"
"97" "000429" "000429.sz"
"98" "000430" "000430.sz"
"99" "000488" "000488.sz"
"100" "000498" "000498.sz"
"101" "000501" "000501.sz"
"102" "000502" "000502.sz"
"103" "000503" "000503.sz"
"104" "000505" "000505.sz"
"105" "000506" "000506.sz"
"106" "000507" "000507.sz"
"107" "000509" "000509.sz"
"108" "000510" "000510.sz"
"109" "000511" "000511.sz"
"110" "000513" "000513.sz"
"111" "000514" "000514.sz"
"112" "000516" "000516.sz"
"113" "000517" "000517.sz"
"114" "000518" "000518.sz"
"115" "000519" "000519.sz"
"116" "000521" "000521.sz"
"117" "000523" "000523.sz"
"118" "000524" "000524.sz"
"119" "000525" "000525.sz"
"120" "000526" "000526.sz"
"121" "000528" "000528.sz"
"122" "000529" "000529.sz"
"123" "000530" "000530.sz"
"124" "000531" "000531.sz"
"125" "000532" "000532.sz"
"126" "000533" "000533.sz"
"127" "000534" "000534.sz"
"128" "000536" "000536.sz"
"129" "000537" "000537.sz"
"130" "000538" "000538.sz"
"131" "000539" "000539.sz"
"132" "000540" "000540.sz"
"133" "000541" "000541.sz"
"134" "000543" "000543.sz"
"135" "000544" "000544.sz"
"136" "000545" "000545.sz"
"137" "000546" "000546.sz"
"138" "000547" "000547.sz"
"139" "000548" "000548.sz"
"140" "000550" "000550.sz"
"141" "000551" "000551.sz"
"142" "000552" "000552.sz"
"143" "000553" "000553.sz"
"144" "000554" "000554.sz"
"145" "000555" "000555.sz"
"146" "000558" "000558.sz"
"147" "000559" "000559.sz"
"148" "000560" "000560.sz"
"149" "000561" "000561.sz"
"150" "000562" "000562.sz"
"151" "000563" "000563.sz"
"152" "000564" "000564.sz"
"153" "000565" "000565.sz"
"154" "000566" "000566.sz"
"155" "000567" "000567.sz"
"156" "000568" "000568.sz"
"157" "000570" "000570.sz"
"158" "000571" "000571.sz"
"159" "000572" "000572.sz"
"160" "000573" "000573.sz"
"161" "000576" "000576.sz"
"162" "000581" "000581.sz"
"163" "000582" "000582.sz"
"164" "000584" "000584.sz"
"165" "000585" "000585.sz"
"166" "000586" "000586.sz"
"167" "000587" "000587.sz"
"168" "000589" "000589.sz"
"169" "000590" "000590.sz"
"170" "000591" "000591.sz"
"171" "000592" "000592.sz"
"172" "000593" "000593.sz"
"173" "000595" "000595.sz"
"174" "000596" "000596.sz"
"175" "000597" "000597.sz"
"176" "000598" "000598.sz"
"177" "000599" "000599.sz"
"178" "000600" "000600.sz"
"179" "000601" "000601.sz"
"180" "000603" "000603.sz"
"181" "000605" "000605.sz"
"182" "000606" "000606.sz"
"183" "000607" "000607.sz"
"184" "000608" "000608.sz"
"185" "000609" "000609.sz"
"186" "000610" "000610.sz"
"187" "000611" "000611.sz"
"188" "000612" "000612.sz"
"189" "000613" "000613.sz"
"190" "000615" "000615.sz"
"191" "000616" "000616.sz"
"192" "000617" "000617.sz"
"193" "000619" "000619.sz"
"194" "000620" "000620.sz"
"195" "000622" "000622.sz"
"196" "000623" "000623.sz"
"197" "000625" "000625.sz"
"198" "000626" "000626.sz"
"199" "000627" "000627.sz"
"200" "000628" "000628.sz"
"201" "000629" "000629.sz"
"202" "000630" "000630.sz"
"203" "000631" "000631.sz"
"204" "000632" "000632.sz"
"205" "000633" "000633.sz"
"206" "000635" "000635.sz"
"207" "000636" "000636.sz"
"208" "000637" "000637.sz"
"209" "000638" "000638.sz"
"210" "000639" "000639.sz"
"211" "000650" "000650.sz"
"212" "000651" "000651.sz"
"213" "000652" "000652.sz"
"214" "000655" "000655.sz"
"215" "000656" "000656.sz"
"216" "000657" "000657.sz"
"217" "000661" "000661.sz"
"218" "000662" "000662.sz"
"219" "000663" "000663.sz"
"220" "000665" "000665.sz"
"221" "000666" "000666.sz"
"222" "000667" "000667.sz"
"223" "000668" "000668.sz"
"224" "000669" "000669.sz"
"225" "000670" "000670.sz"
"226" "000671" "000671.sz"
"227" "000672" "000672.sz"
"228" "000673" "000673.sz"
"229" "000677" "000677.sz"
"230" "000678" "000678.sz"
"231" "000679" "000679.sz"
"232" "000680" "000680.sz"
"233" "000681" "000681.sz"
"234" "000682" "000682.sz"
"235" "000683" "000683.sz"
"236" "000685" "000685.sz"
"237" "000686" "000686.sz"
"238" "000687" "000687.sz"
"239" "000688" "000688.sz"
"240" "000690" "000690.sz"
"241" "000691" "000691.sz"
"242" "000692" "000692.sz"
"243" "000693" "000693.sz"
"244" "000695" "000695.sz"
"245" "000697" "000697.sz"
"246" "000698" "000698.sz"
"247" "000700" "000700.sz"
"248" "000701" "000701.sz"
"249" "000702" "000702.sz"
"250" "000703" "000703.sz"
"251" "000705" "000705.sz"
"252" "000707" "000707.sz"
"253" "000708" "000708.sz"
"254" "000709" "000709.sz"
"255" "000710" "000710.sz"
"256" "000711" "000711.sz"
"257" "000712" "000712.sz"
"258" "000713" "000713.sz"
"259" "000715" "000715.sz"
"260" "000716" "000716.sz"
"261" "000717" "000717.sz"
"262" "000718" "000718.sz"
"263" "000720" "000720.sz"
"264" "000721" "000721.sz"
"265" "000722" "000722.sz"
"266" "000723" "000723.sz"
"267" "000725" "000725.sz"
"268" "000726" "000726.sz"
"269" "000727" "000727.sz"
"270" "000728" "000728.sz"
"271" "000729" "000729.sz"
"272" "000731" "000731.sz"
"273" "000732" "000732.sz"
"274" "000733" "000733.sz"
"275" "000735" "000735.sz"
"276" "000736" "000736.sz"
"277" "000737" "000737.sz"
"278" "000738" "000738.sz"
"279" "000739" "000739.sz"
"280" "000748" "000748.sz"
"281" "000750" "000750.sz"
"282" "000751" "000751.sz"
"283" "000752" "000752.sz"
"284" "000753" "000753.sz"
"285" "000756" "000756.sz"
"286" "000757" "000757.sz"
"287" "000758" "000758.sz"
"288" "000759" "000759.sz"
"289" "000760" "000760.sz"
"290" "000761" "000761.sz"
"291" "000762" "000762.sz"
"292" "000766" "000766.sz"
"293" "000767" "000767.sz"
"294" "000768" "000768.sz"
"295" "000776" "000776.sz"
"296" "000777" "000777.sz"
"297" "000778" "000778.sz"
"298" "000780" "000780.sz"
"299" "000782" "000782.sz"
"300" "000783" "000783.sz"
"301" "000785" "000785.sz"
"302" "000786" "000786.sz"
"303" "000788" "000788.sz"
"304" "000789" "000789.sz"
"305" "000790" "000790.sz"
"306" "000791" "000791.sz"
"307" "000792" "000792.sz"
"308" "000793" "000793.sz"
"309" "000795" "000795.sz"
"310" "000796" "000796.sz"
"311" "000797" "000797.sz"
"312" "000798" "000798.sz"
"313" "000799" "000799.sz"
"314" "000800" "000800.sz"
"315" "000801" "000801.sz"
"316" "000802" "000802.sz"
"317" "000803" "000803.sz"
"318" "000806" "000806.sz"
"319" "000807" "000807.sz"
"320" "000809" "000809.sz"
"321" "000810" "000810.sz"
"322" "000811" "000811.sz"
"323" "000812" "000812.sz"
"324" "000813" "000813.sz"
"325" "000815" "000815.sz"
"326" "000816" "000816.sz"
"327" "000818" "000818.sz"
"328" "000819" "000819.sz"
"329" "000820" "000820.sz"
"330" "000821" "000821.sz"
"331" "000823" "000823.sz"
"332" "000825" "000825.sz"
"333" "000826" "000826.sz"
"334" "000828" "000828.sz"
"335" "000829" "000829.sz"
"336" "000830" "000830.sz"
"337" "000831" "000831.sz"
"338" "000833" "000833.sz"
"339" "000835" "000835.sz"
"340" "000836" "000836.sz"
"341" "000837" "000837.sz"
"342" "000838" "000838.sz"
"343" "000839" "000839.sz"
"344" "000848" "000848.sz"
"345" "000850" "000850.sz"
"346" "000851" "000851.sz"
"347" "000852" "000852.sz"
"348" "000856" "000856.sz"
"349" "000858" "000858.sz"
"350" "000859" "000859.sz"
"351" "000860" "000860.sz"
"352" "000861" "000861.sz"
"353" "000862" "000862.sz"
"354" "000863" "000863.sz"
"355" "000868" "000868.sz"
"356" "000869" "000869.sz"
"357" "000875" "000875.sz"
"358" "000876" "000876.sz"
"359" "000877" "000877.sz"
"360" "000878" "000878.sz"
"361" "000880" "000880.sz"
"362" "000881" "000881.sz"
"363" "000882" "000882.sz"
"364" "000883" "000883.sz"
"365" "000885" "000885.sz"
"366" "000886" "000886.sz"
"367" "000887" "000887.sz"
"368" "000888" "000888.sz"
"369" "000889" "000889.sz"
"370" "000890" "000890.sz"
"371" "000892" "000892.sz"
"372" "000893" "000893.sz"
"373" "000895" "000895.sz"
"374" "000897" "000897.sz"
"375" "000898" "000898.sz"
"376" "000899" "000899.sz"
"377" "000900" "000900.sz"
"378" "000901" "000901.sz"
"379" "000902" "000902.sz"
"380" "000903" "000903.sz"
"381" "000905" "000905.sz"
"382" "000906" "000906.sz"
"383" "000908" "000908.sz"
"384" "000909" "000909.sz"
"385" "000910" "000910.sz"
"386" "000911" "000911.sz"
"387" "000912" "000912.sz"
"388" "000913" "000913.sz"
"389" "000915" "000915.sz"
"390" "000916" "000916.sz"
"391" "000917" "000917.sz"
"392" "000918" "000918.sz"
"393" "000919" "000919.sz"
"394" "000920" "000920.sz"
"395" "000921" "000921.sz"
"396" "000922" "000922.sz"
"397" "000923" "000923.sz"
"398" "000925" "000925.sz"
"399" "000926" "000926.sz"
"400" "000927" "000927.sz"
"401" "000928" "000928.sz"
"402" "000929" "000929.sz"
"403" "000930" "000930.sz"
"404" "000931" "000931.sz"
"405" "000932" "000932.sz"
"406" "000933" "000933.sz"
"407" "000935" "000935.sz"
"408" "000936" "000936.sz"
"409" "000937" "000937.sz"
"410" "000938" "000938.sz"
"411" "000939" "000939.sz"
"412" "000948" "000948.sz"
"413" "000949" "000949.sz"
"414" "000950" "000950.sz"
"415" "000951" "000951.sz"
"416" "000952" "000952.sz"
"417" "000953" "000953.sz"
"418" "000955" "000955.sz"
"419" "000957" "000957.sz"
"420" "000958" "000958.sz"
"421" "000959" "000959.sz"
"422" "000960" "000960.sz"
"423" "000961" "000961.sz"
"424" "000962" "000962.sz"
"425" "000963" "000963.sz"
"426" "000965" "000965.sz"
"427" "000966" "000966.sz"
"428" "000968" "000968.sz"
"429" "000969" "000969.sz"
"430" "000970" "000970.sz"
"431" "000971" "000971.sz"
"432" "000972" "000972.sz"
"433" "000973" "000973.sz"
"434" "000975" "000975.sz"
"435" "000976" "000976.sz"
"436" "000978" "000978.sz"
"437" "000979" "000979.sz"
"438" "000980" "000980.sz"
"439" "000981" "000981.sz"
"440" "000983" "000983.sz"
"441" "000985" "000985.sz"
"442" "000987" "000987.sz"
"443" "000988" "000988.sz"
"444" "000989" "000989.sz"
"445" "000990" "000990.sz"
"446" "000993" "000993.sz"
"447" "000995" "000995.sz"
"448" "000996" "000996.sz"
"449" "000997" "000997.sz"
"450" "000998" "000998.sz"
"451" "000999" "000999.sz"
"452" "001696" "001696.sz"
"453" "001896" "001896.sz"
"454" "002001" "002001.sz"
"455" "002002" "002002.sz"
"456" "002003" "002003.sz"
"457" "002004" "002004.sz"
"458" "002005" "002005.sz"
"459" "002007" "002007.sz"
"460" "002008" "002008.sz"
"461" "002009" "002009.sz"
"462" "002010" "002010.sz"
"463" "002011" "002011.sz"
"464" "002012" "002012.sz"
"465" "002013" "002013.sz"
"466" "002014" "002014.sz"
"467" "002016" "002016.sz"
"468" "002017" "002017.sz"
"469" "002018" "002018.sz"
"470" "002019" "002019.sz"
"471" "002020" "002020.sz"
"472" "002022" "002022.sz"
"473" "002023" "002023.sz"
"474" "002024" "002024.sz"
"475" "002025" "002025.sz"
"476" "002026" "002026.sz"
"477" "002027" "002027.sz"
"478" "002028" "002028.sz"
"479" "002029" "002029.sz"
"480" "002030" "002030.sz"
"481" "002031" "002031.sz"
"482" "002032" "002032.sz"
"483" "002033" "002033.sz"
"484" "002034" "002034.sz"
"485" "002035" "002035.sz"
"486" "002036" "002036.sz"
"487" "002037" "002037.sz"
"488" "002038" "002038.sz"
"489" "002039" "002039.sz"
"490" "002040" "002040.sz"
"491" "002041" "002041.sz"
"492" "002042" "002042.sz"
"493" "002043" "002043.sz"
"494" "002044" "002044.sz"
"495" "002045" "002045.sz"
"496" "002046" "002046.sz"
"497" "002047" "002047.sz"
"498" "002048" "002048.sz"
"499" "002049" "002049.sz"
"500" "002050" "002050.sz"
"501" "002051" "002051.sz"
"502" "002052" "002052.sz"
"503" "002053" "002053.sz"
"504" "002054" "002054.sz"
"505" "002055" "002055.sz"
"506" "002056" "002056.sz"
"507" "002057" "002057.sz"
"508" "002058" "002058.sz"
"509" "002059" "002059.sz"
"510" "002060" "002060.sz"
"511" "002061" "002061.sz"
"512" "002062" "002062.sz"
"513" "002063" "002063.sz"
"514" "002064" "002064.sz"
"515" "002065" "002065.sz"
"516" "002066" "002066.sz"
"517" "002067" "002067.sz"
"518" "002068" "002068.sz"
"519" "002069" "002069.sz"
"520" "002071" "002071.sz"
"521" "002073" "002073.sz"
"522" "002074" "002074.sz"
"523" "002075" "002075.sz"
"524" "002076" "002076.sz"
"525" "002077" "002077.sz"
"526" "002078" "002078.sz"
"527" "002079" "002079.sz"
"528" "002080" "002080.sz"
"529" "002081" "002081.sz"
"530" "002082" "002082.sz"
"531" "002083" "002083.sz"
"532" "002084" "002084.sz"
"533" "002085" "002085.sz"
"534" "002086" "002086.sz"
"535" "002087" "002087.sz"
"536" "002088" "002088.sz"
"537" "002089" "002089.sz"
"538" "002090" "002090.sz"
"539" "002091" "002091.sz"
"540" "002092" "002092.sz"
"541" "002093" "002093.sz"
"542" "002094" "002094.sz"
"543" "002095" "002095.sz"
"544" "002096" "002096.sz"
"545" "002097" "002097.sz"
"546" "002098" "002098.sz"
"547" "002099" "002099.sz"
"548" "002100" "002100.sz"
"549" "002101" "002101.sz"
"550" "002102" "002102.sz"
"551" "002103" "002103.sz"
"552" "002104" "002104.sz"
"553" "002105" "002105.sz"
"554" "002106" "002106.sz"
"555" "002107" "002107.sz"
"556" "002108" "002108.sz"
"557" "002109" "002109.sz"
"558" "002110" "002110.sz"
"559" "002111" "002111.sz"
"560" "002112" "002112.sz"
"561" "002113" "002113.sz"
"562" "002114" "002114.sz"
"563" "002115" "002115.sz"
"564" "002116" "002116.sz"
"565" "002117" "002117.sz"
"566" "002118" "002118.sz"
"567" "002120" "002120.sz"
"568" "002121" "002121.sz"
"569" "002122" "002122.sz"
"570" "002124" "002124.sz"
"571" "002125" "002125.sz"
"572" "002126" "002126.sz"
"573" "002128" "002128.sz"
"574" "002129" "002129.sz"
"575" "002130" "002130.sz"
"576" "002131" "002131.sz"
"577" "002132" "002132.sz"
"578" "002133" "002133.sz"
"579" "002135" "002135.sz"
"580" "002136" "002136.sz"
"581" "002137" "002137.sz"
"582" "002138" "002138.sz"
"583" "002139" "002139.sz"
"584" "002140" "002140.sz"
"585" "002141" "002141.sz"
"586" "002142" "002142.sz"
"587" "002143" "002143.sz"
"588" "002144" "002144.sz"
"589" "002145" "002145.sz"
"590" "002146" "002146.sz"
"591" "002147" "002147.sz"
"592" "002148" "002148.sz"
"593" "002149" "002149.sz"
"594" "002150" "002150.sz"
"595" "002151" "002151.sz"
"596" "002153" "002153.sz"
"597" "002154" "002154.sz"
"598" "002155" "002155.sz"
"599" "002156" "002156.sz"
"600" "002157" "002157.sz"
"601" "002158" "002158.sz"
"602" "002159" "002159.sz"
"603" "002161" "002161.sz"
"604" "002162" "002162.sz"
"605" "002165" "002165.sz"
"606" "002166" "002166.sz"
"607" "002167" "002167.sz"
"608" "002169" "002169.sz"
"609" "002170" "002170.sz"
"610" "002171" "002171.sz"
"611" "002172" "002172.sz"
"612" "002173" "002173.sz"
"613" "002174" "002174.sz"
"614" "002175" "002175.sz"
"615" "002176" "002176.sz"
"616" "002177" "002177.sz"
"617" "002178" "002178.sz"
"618" "002179" "002179.sz"
"619" "002181" "002181.sz"
"620" "002182" "002182.sz"
"621" "002183" "002183.sz"
"622" "002184" "002184.sz"
"623" "002185" "002185.sz"
"624" "002186" "002186.sz"
"625" "002187" "002187.sz"
"626" "002188" "002188.sz"
"627" "002189" "002189.sz"
"628" "002190" "002190.sz"
"629" "002191" "002191.sz"
"630" "002192" "002192.sz"
"631" "002193" "002193.sz"
"632" "002194" "002194.sz"
"633" "002195" "002195.sz"
"634" "002196" "002196.sz"
"635" "002197" "002197.sz"
"636" "002198" "002198.sz"
"637" "002199" "002199.sz"
"638" "002200" "002200.sz"
"639" "002201" "002201.sz"
"640" "002202" "002202.sz"
"641" "002203" "002203.sz"
"642" "002204" "002204.sz"
"643" "002205" "002205.sz"
"644" "002206" "002206.sz"
"645" "002207" "002207.sz"
"646" "002208" "002208.sz"
"647" "002209" "002209.sz"
"648" "002210" "002210.sz"
"649" "002211" "002211.sz"
"650" "002212" "002212.sz"
"651" "002213" "002213.sz"
"652" "002214" "002214.sz"
"653" "002215" "002215.sz"
"654" "002216" "002216.sz"
"655" "002218" "002218.sz"
"656" "002219" "002219.sz"
"657" "002220" "002220.sz"
"658" "002221" "002221.sz"
"659" "002222" "002222.sz"
"660" "002223" "002223.sz"
"661" "002224" "002224.sz"
"662" "002225" "002225.sz"
"663" "002226" "002226.sz"
"664" "002227" "002227.sz"
"665" "002228" "002228.sz"
"666" "002229" "002229.sz"
"667" "002230" "002230.sz"
"668" "002231" "002231.sz"
"669" "002232" "002232.sz"
"670" "002233" "002233.sz"
"671" "002235" "002235.sz"
"672" "002236" "002236.sz"
"673" "002237" "002237.sz"
"674" "002238" "002238.sz"
"675" "002239" "002239.sz"
"676" "002240" "002240.sz"
"677" "002241" "002241.sz"
"678" "002242" "002242.sz"
"679" "002243" "002243.sz"
"680" "002244" "002244.sz"
"681" "002245" "002245.sz"
"682" "002246" "002246.sz"
"683" "002247" "002247.sz"
"684" "002249" "002249.sz"
"685" "002250" "002250.sz"
"686" "002251" "002251.sz"
"687" "002252" "002252.sz"
"688" "002253" "002253.sz"
"689" "002254" "002254.sz"
"690" "002255" "002255.sz"
"691" "002256" "002256.sz"
"692" "002258" "002258.sz"
"693" "002259" "002259.sz"
"694" "002260" "002260.sz"
"695" "002261" "002261.sz"
"696" "002262" "002262.sz"
"697" "002263" "002263.sz"
"698" "002264" "002264.sz"
"699" "002265" "002265.sz"
"700" "002266" "002266.sz"
"701" "002267" "002267.sz"
"702" "002268" "002268.sz"
"703" "002269" "002269.sz"
"704" "002270" "002270.sz"
"705" "002271" "002271.sz"
"706" "002272" "002272.sz"
"707" "002273" "002273.sz"
"708" "002274" "002274.sz"
"709" "002275" "002275.sz"
"710" "002276" "002276.sz"
"711" "002277" "002277.sz"
"712" "002278" "002278.sz"
"713" "002279" "002279.sz"
"714" "002280" "002280.sz"
"715" "002281" "002281.sz"
"716" "002282" "002282.sz"
"717" "002283" "002283.sz"
"718" "002284" "002284.sz"
"719" "002285" "002285.sz"
"720" "002286" "002286.sz"
"721" "002287" "002287.sz"
"722" "002288" "002288.sz"
"723" "002289" "002289.sz"
"724" "002290" "002290.sz"
"725" "002291" "002291.sz"
"726" "002292" "002292.sz"
"727" "002293" "002293.sz"
"728" "002294" "002294.sz"
"729" "002295" "002295.sz"
"730" "002296" "002296.sz"
"731" "002297" "002297.sz"
"732" "002299" "002299.sz"
"733" "002300" "002300.sz"
"734" "002301" "002301.sz"
"735" "002302" "002302.sz"
"736" "002303" "002303.sz"
"737" "002304" "002304.sz"
"738" "002305" "002305.sz"
"739" "002306" "002306.sz"
"740" "002307" "002307.sz"
"741" "002309" "002309.sz"
"742" "002310" "002310.sz"
"743" "002311" "002311.sz"
"744" "002313" "002313.sz"
"745" "002314" "002314.sz"
"746" "002315" "002315.sz"
"747" "002316" "002316.sz"
"748" "002317" "002317.sz"
"749" "002318" "002318.sz"
"750" "002319" "002319.sz"
"751" "002320" "002320.sz"
"752" "002321" "002321.sz"
"753" "002322" "002322.sz"
"754" "002324" "002324.sz"
"755" "002325" "002325.sz"
"756" "002326" "002326.sz"
"757" "002327" "002327.sz"
"758" "002328" "002328.sz"
"759" "002329" "002329.sz"
"760" "002330" "002330.sz"
"761" "002331" "002331.sz"
"762" "002332" "002332.sz"
"763" "002333" "002333.sz"
"764" "002334" "002334.sz"
"765" "002336" "002336.sz"
"766" "002337" "002337.sz"
"767" "002338" "002338.sz"
"768" "002339" "002339.sz"
"769" "002340" "002340.sz"
"770" "002341" "002341.sz"
"771" "002342" "002342.sz"
"772" "002343" "002343.sz"
"773" "002344" "002344.sz"
"774" "002345" "002345.sz"
"775" "002346" "002346.sz"
"776" "002347" "002347.sz"
"777" "002348" "002348.sz"
"778" "002349" "002349.sz"
"779" "002350" "002350.sz"
"780" "002352" "002352.sz"
"781" "002353" "002353.sz"
"782" "002354" "002354.sz"
"783" "002355" "002355.sz"
"784" "002356" "002356.sz"
"785" "002357" "002357.sz"
"786" "002358" "002358.sz"
"787" "002359" "002359.sz"
"788" "002360" "002360.sz"
"789" "002361" "002361.sz"
"790" "002362" "002362.sz"
"791" "002363" "002363.sz"
"792" "002364" "002364.sz"
"793" "002365" "002365.sz"
"794" "002366" "002366.sz"
"795" "002367" "002367.sz"
"796" "002368" "002368.sz"
"797" "002369" "002369.sz"
"798" "002370" "002370.sz"
"799" "002371" "002371.sz"
"800" "002372" "002372.sz"
"801" "002373" "002373.sz"
"802" "002374" "002374.sz"
"803" "002375" "002375.sz"
"804" "002376" "002376.sz"
"805" "002377" "002377.sz"
"806" "002378" "002378.sz"
"807" "002379" "002379.sz"
"808" "002380" "002380.sz"
"809" "002381" "002381.sz"
"810" "002382" "002382.sz"
"811" "002383" "002383.sz"
"812" "002384" "002384.sz"
"813" "002385" "002385.sz"
"814" "002386" "002386.sz"
"815" "002387" "002387.sz"
"816" "002388" "002388.sz"
"817" "002389" "002389.sz"
"818" "002390" "002390.sz"
"819" "002391" "002391.sz"
"820" "002392" "002392.sz"
"821" "002393" "002393.sz"
"822" "002394" "002394.sz"
"823" "002395" "002395.sz"
"824" "002396" "002396.sz"
"825" "002397" "002397.sz"
"826" "002398" "002398.sz"
"827" "002399" "002399.sz"
"828" "002400" "002400.sz"
"829" "002401" "002401.sz"
"830" "002402" "002402.sz"
"831" "002403" "002403.sz"
"832" "002404" "002404.sz"
"833" "002405" "002405.sz"
"834" "002406" "002406.sz"
"835" "002407" "002407.sz"
"836" "002408" "002408.sz"
"837" "002409" "002409.sz"
"838" "002410" "002410.sz"
"839" "002411" "002411.sz"
"840" "002412" "002412.sz"
"841" "002413" "002413.sz"
"842" "002414" "002414.sz"
"843" "002415" "002415.sz"
"844" "002416" "002416.sz"
"845" "002417" "002417.sz"
"846" "002418" "002418.sz"
"847" "002419" "002419.sz"
"848" "002420" "002420.sz"
"849" "002421" "002421.sz"
"850" "002422" "002422.sz"
"851" "002423" "002423.sz"
"852" "002424" "002424.sz"
"853" "002425" "002425.sz"
"854" "002426" "002426.sz"
"855" "002427" "002427.sz"
"856" "002428" "002428.sz"
"857" "002429" "002429.sz"
"858" "002430" "002430.sz"
"859" "002431" "002431.sz"
"860" "002432" "002432.sz"
"861" "002433" "002433.sz"
"862" "002434" "002434.sz"
"863" "002435" "002435.sz"
"864" "002436" "002436.sz"
"865" "002437" "002437.sz"
"866" "002438" "002438.sz"
"867" "002439" "002439.sz"
"868" "002440" "002440.sz"
"869" "002441" "002441.sz"
"870" "002442" "002442.sz"
"871" "002443" "002443.sz"
"872" "002444" "002444.sz"
"873" "002445" "002445.sz"
"874" "002446" "002446.sz"
"875" "002447" "002447.sz"
"876" "002448" "002448.sz"
"877" "002449" "002449.sz"
"878" "002450" "002450.sz"
"879" "002451" "002451.sz"
"880" "002452" "002452.sz"
"881" "002453" "002453.sz"
"882" "002454" "002454.sz"
"883" "002455" "002455.sz"
"884" "002456" "002456.sz"
"885" "002457" "002457.sz"
"886" "002458" "002458.sz"
"887" "002460" "002460.sz"
"888" "002461" "002461.sz"
"889" "002462" "002462.sz"
"890" "002463" "002463.sz"
"891" "002464" "002464.sz"
"892" "002465" "002465.sz"
"893" "002466" "002466.sz"
"894" "002467" "002467.sz"
"895" "002468" "002468.sz"
"896" "002469" "002469.sz"
"897" "002470" "002470.sz"
"898" "002471" "002471.sz"
"899" "002472" "002472.sz"
"900" "002473" "002473.sz"
"901" "002474" "002474.sz"
"902" "002475" "002475.sz"
"903" "002476" "002476.sz"
"904" "002477" "002477.sz"
"905" "002478" "002478.sz"
"906" "002479" "002479.sz"
"907" "002480" "002480.sz"
"908" "002481" "002481.sz"
"909" "002482" "002482.sz"
"910" "002483" "002483.sz"
"911" "002484" "002484.sz"
"912" "002485" "002485.sz"
"913" "002486" "002486.sz"
"914" "002487" "002487.sz"
"915" "002488" "002488.sz"
"916" "002489" "002489.sz"
"917" "002490" "002490.sz"
"918" "002491" "002491.sz"
"919" "002492" "002492.sz"
"920" "002493" "002493.sz"
"921" "002494" "002494.sz"
"922" "002495" "002495.sz"
"923" "002496" "002496.sz"
"924" "002497" "002497.sz"
"925" "002498" "002498.sz"
"926" "002499" "002499.sz"
"927" "002500" "002500.sz"
"928" "002501" "002501.sz"
"929" "002502" "002502.sz"
"930" "002503" "002503.sz"
"931" "002504" "002504.sz"
"932" "002505" "002505.sz"
